threshold,hold_days,total_return,num_trades
0.5,3,-0.12421896900958172,129
0.5,5,-0.09404874383935437,129
0.5,10,-0.06955124858666875,127
0.55,3,-0.02612416262527369,71
0.55,5,-0.007699871127013117,71
0.55,10,-0.011313737197875161,70
0.6,3,-0.029796177862181795,52
0.6,5,-0.014261010364501154,52
0.6,10,-0.018008721989318497,51
0.65,3,-0.017475088057982504,36
0.65,5,-0.014451055137755815,36
0.65,10,-0.0032357056435543346,36
0.7,3,0.01683850656036404,26
0.7,5,0.009567681367096141,26
0.7,10,-0.0046020301542661615,26
